0,4900,0,0,100,0
5,4407,29,493,65,1
5,3875,29,1027,65,1
8,3516,29,1322,122,4
8,3186,29,1073,700,4
8,2815,29,920,1224,4
49,2481,211,793,1459,7
99,2113,393,657,1725,12
184,1777,551,492,1966,30
305,1479,677,372,2118,49
444,1181,788,285,2232,70
602,899,867,279,2258,95
751,728,895,198,2304,124
919,599,925,142,2268,147
1072,489,933,117,2211,178
1221,404,928,93,2161,192
1360,320,919,91,2099,210
1522,261,886,67,2037,225
1659,213,873,51,1961,242
1810,169,842,50,1863,266
1941,140,816,35,1785,282
2077,117,785,26,1703,292
2196,98,754,20,1629,303
2300,80,731,19,1550,320
2406,67,703,13,1474,336
2508,60,670,8,1397,356
2621,46,647,14,1308,364
2709,40,615,7,1250,379
2812,32,589,8,1168,390
2902,26,566,6,1098,401
2995,17,532,9,1034,413
3070,16,506,1,982,425
3136,15,486,1,925,437
3209,14,466,1,862,447
3272,10,442,4,817,455
3332,9,423,1,767,466
3399,8,398,1,723,471
3465,8,373,0,673,480
3535,8,344,0,628,485
3578,7,330,1,593,491
3623,6,309,1,565,496
3652,5,295,2,545,500
