0,9900,0,0,100,0
2,9599,15,303,81,2
2,9211,15,690,81,2
2,8850,15,1052,81,2
2,8502,15,1399,81,2
2,8191,15,1709,81,2
2,7875,15,2025,81,2
2,7572,15,2328,81,2
2,7270,15,2630,81,2
7,6985,15,2912,80,2
7,6772,15,2765,439,2
7,6533,15,2607,836,2
7,6305,15,2455,1216,2
7,6086,15,2375,1515,2
7,5886,15,2284,1807,2
7,5678,15,2219,2079,2
7,5513,15,2100,2364,2
7,5338,15,2029,2609,2
34,5177,78,1932,2773,5
62,4995,169,1803,2961,10
86,4791,264,1693,3153,14
107,4630,339,1581,3326,17
118,4460,407,1494,3498,23
137,4293,469,1445,3630,26
184,4121,547,1326,3788,34
241,3912,613,1288,3907,38
273,3765,673,1202,4039,48
303,3633,746,1114,4152,52
338,3484,783,1035,4303,57
407,3316,850,985,4375,67
479,3171,901,906,4462,81
541,3019,929,858,4558,95
597,2870,969,812,4645,107
672,2734,1004,740,4730,120
774,2558,1036,714,4784,134
856,2428,1059,660,4858,139
938,2310,1090,613,4893,155
1040,2161,1110,574,4942,173
1129,2016,1149,550,4966,190
1236,1886,1163,517,4992,207
1375,1761,1184,458,4998,224
1473,1637,1195,401,5052,242
1657,1493,1214,374,4996,266
1816,1368,1228,334,4964,290
1993,1230,1217,313,4927,320
2181,1090,1227,315,4838,348
2386,983,1224,245,4783,378
2613,862,1206,208,4688,423
2843,772,1183,160,4572,469
3103,675,1142,144,4422,513
3384,575,1124,117,4241,559
3702,475,1088,109,4025,601
4041,379,1028,78,3802,672
4339,313,986,65,3575,721
4581,263,945,60,3392,759
4781,218,911,53,3245,792
4978,180,873,46,3102,821
5186,155,831,32,2933,861
5365,136,798,23,2783,895
5526,117,770,22,2643,922
5686,105,743,15,2498,953
5829,84,715,22,2370,980
5987,68,683,19,2231,1010
6125,57,659,13,2120,1026
6257,50,636,10,1993,1054
6397,45,612,9,1857,1080
6519,35,581,12,1748,1103
6645,33,552,3,1646,1121
6755,24,526,9,1542,1143
6851,19,502,6,1467,1155
6945,18,481,1,1385,1170
7032,15,459,3,1301,1188
7108,11,442,4,1226,1209
7186,7,426,4,1153,1223
7255,6,408,1,1093,1237
7323,6,393,0,1028,1249
7389,5,365,1,979,1260
7465,4,343,1,918,1268
7528,3,332,1,859,1276
7595,3,313,0,806,1283
7663,3,298,0,742,1294
7729,3,278,0,692,1298
7772,3,265,0,654,1306
7817,2,251,1,618,1311
