0,7900,0,0,100,0
7,7651,18,249,74,1
7,7338,18,564,74,1
7,7017,18,883,74,1
7,6739,18,1162,74,1
7,6480,18,1420,74,1
7,6211,18,1689,74,1
9,6014,17,1701,257,2
9,5830,17,1683,459,2
9,5612,17,1663,697,2
9,5382,17,1673,917,2
9,5181,17,1679,1112,2
9,4985,17,1682,1305,2
28,4815,77,1590,1485,5
44,4637,125,1538,1647,9
54,4436,173,1492,1833,12
66,4278,221,1409,2009,17
85,4112,262,1353,2170,18
125,3927,315,1271,2337,25
161,3761,379,1187,2484,28
183,3622,423,1100,2641,31
217,3480,462,1033,2772,36
271,3324,523,940,2897,45
318,3161,563,875,3029,54
361,3021,606,837,3117,59
434,2866,646,776,3203,75
485,2717,685,747,3283,83
543,2579,711,721,3350,96
615,2451,735,667,3428,104
687,2308,762,623,3501,119
750,2180,782,586,3573,129
843,2052,808,528,3624,145
916,1944,832,445,3710,153
1032,1791,835,431,3731,180
1140,1671,850,400,3745,194
1282,1545,849,344,3754,226
1425,1409,855,369,3697,245
1607,1275,850,321,3673,274
1788,1134,841,308,3622,307
1956,1019,833,259,3601,330
2166,898,834,221,3512,369
2377,784,833,200,3405,404
2626,678,818,172,3259,447
2893,585,795,125,3123,479
3165,477,784,115,2940,519
3385,401,761,99,2802,552
3540,349,727,84,2725,575
3720,310,697,62,2610,599
3890,265,662,65,2488,630
4051,233,633,55,2370,657
4208,202,604,47,2260,679
4378,179,584,33,2119,707
4514,148,562,46,2000,730
4646,130,532,27,1917,747
4778,119,508,15,1816,763
4917,104,482,22,1701,774
5032,89,461,22,1599,796
5146,77,440,17,1509,811
5248,70,422,9,1428,822
5340,63,406,10,1341,840
