0,4900,0,0,100,0
7,3187,27,1714,66,0
7,2166,27,2735,66,0
7,1450,27,3450,66,0
7,810,27,4090,66,0
7,248,27,4653,66,0
17,3,22,3736,1222,0
17,3,22,2618,2340,0
17,3,22,1778,3181,0
17,3,22,1081,3877,0
17,3,22,502,4456,0
191,3,603,0,4166,1
773,1,1262,1,2952,7
1072,1,1176,0,2741,9
1392,1,1070,0,2516,14
1684,1,972,0,2326,17
1937,1,886,0,2155,19
2199,1,800,0,1975,20
2450,0,736,1,1792,20
2655,0,670,0,1651,22
2858,0,610,0,1505,25
3037,0,564,0,1369,27
3222,0,523,0,1228,27
3370,0,487,0,1116,27
3480,0,459,0,1033,27
3589,0,414,0,969,28
3689,0,385,0,895,30
3795,0,351,0,823,30
3894,0,323,0,748,33
3993,0,295,0,678,34
4077,0,266,0,621,36
4155,0,239,0,570,36
4208,0,220,0,534,38
4263,0,199,0,498,40
4303,0,184,0,472,40
4359,0,173,0,428,40
4409,0,157,0,392,42
0,4900,0,0,100,0
30,3182,28,1719,42,0
30,2259,28,2643,42,0
30,1484,28,3416,42,0
30,862,28,4038,42,0
30,316,28,4584,42,0
54,4,19,3947,976,0
54,4,19,2636,2287,0
54,4,19,1754,3169,0
54,4,19,1072,3851,0
54,4,19,509,4414,0
54,2,19,3,4922,0
1670,2,976,0,2311,6
2711,2,653,0,1594,6
3367,2,471,0,1154,6
3880,2,332,0,778,7
4238,2,226,0,526,7
4475,1,162,1,353,8
4638,1,107,1,245,8
4748,1,69,0,174,8
4833,1,45,0,113,8
4887,1,31,0,73,8
4916,1,23,0,52,8
4936,1,17,0,38,8
4961,1,9,0,21,8
4969,1,8,0,14,8
4974,1,6,0,11,8
4979,1,4,0,8,8
4982,1,2,0,7,8
4984,1,1,0,6,8
4987,0,1,1,3,8
4987,0,1,0,4,8
4990,0,1,0,1,8
4991,0,0,0,1,8
4992,0,0,0,0,8
4992,0,0,0,0,8
0,2900,0,0,100,0
5,2191,70,714,25,0
7,1665,69,577,682,0
61,1207,554,371,797,10
135,934,875,279,759,17
211,715,1074,226,750,23
293,551,1227,169,727,32
389,448,1303,106,715,39
486,345,1362,104,655,47
582,267,1372,79,649,50
668,199,1384,70,620,59
763,169,1365,30,603,70
867,141,1334,28,551,76
961,103,1287,39,526,84
1064,82,1223,22,519,89
1156,69,1183,13,488,90
1244,53,1139,16,454,94
1314,44,1100,9,436,97
1400,39,1045,5,406,105
1461,35,1011,4,378,111
1536,31,955,4,360,114
1596,23,907,8,347,119
1673,18,856,5,325,120
1733,15,822,3,305,122
1802,15,776,0,281,126
1863,13,734,2,261,127
1905,12,707,1,245,130
1953,11,672,1,231,132
2003,6,635,5,218,133
2045,6,604,0,212,133
2092,5,573,1,193,136
2141,5,538,0,179,137
2187,5,500,0,166,142
2222,3,472,2,156,144
2258,2,444,1,149,146
2290,2,421,0,139,148
